"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1796","SQ-XXX: should load dashboard with authenticated session","e2e","2026-08-07","passed","2026-08-07","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","269","SQ-XXX: should be able to re-authenticate","integration","2026-08-07","passed","2026-08-07","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","4","Global Setup: prepare environment","global-setup","2026-08-07","passed","2026-08-07","","setup/global.setup.ts","",""
"","166","SQ-XXX: should get current user with valid token","integration","2026-08-07","passed","2026-08-07","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","4100","SQ-90: TC1: Should create client with valid data","e2e","2026-08-07","failed","2026-08-07","Create Client","e2e/clients/createClient.test.ts","",""
"","525","SQ-XXX: should access user info via API with session token","e2e","2026-08-07","passed","2026-08-07","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3698","UI Setup: authenticate via UI","ui-setup","2026-08-07","passed","2026-08-07","","setup/ui-auth.setup.ts","",""
"","456","API Setup: authenticate via API","api-setup","2026-08-07","passed","2026-08-07","","setup/api-auth.setup.ts","",""
"","3","Global Teardown: generate reports and sync TMS","global-teardown","2026-08-07","passed","2026-08-07","","teardown/global.teardown.ts","",""
"","84","SQ-XXX: should fail without token","integration","2026-08-07","passed","2026-08-07","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
