"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","462","API Setup: authenticate via API","api-setup","Sun May 24 03:18:28 UTC 2026","passed","Sun May 24 03:18:28 UTC 2026","","setup/api-auth.setup.ts","",""
"","1534","SQ-XXX: should load dashboard with authenticated session","smoke","Sun May 24 03:18:41 UTC 2026","passed","Sun May 24 03:18:42 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","276","SQ-XXX: should access user info via API with session token","smoke","Sun May 24 03:18:42 UTC 2026","passed","Sun May 24 03:18:43 UTC 2026","SQ-XXX: Dashboard","e2e/dashboard/dashboard.test.ts","",""
"","3","Global Setup: prepare environment","global-setup","Sun May 24 03:18:27 UTC 2026","passed","Sun May 24 03:18:27 UTC 2026","","setup/global.setup.ts","",""
"","47","SQ-XXX: should get current user with valid token","smoke","Sun May 24 03:18:43 UTC 2026","passed","Sun May 24 03:18:43 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","4","Global Teardown: generate reports and sync TMS","global-teardown","Sun May 24 03:18:44 UTC 2026","passed","Sun May 24 03:18:44 UTC 2026","","teardown/global.teardown.ts","",""
"","37","SQ-XXX: should fail without token","smoke","Sun May 24 03:18:43 UTC 2026","passed","Sun May 24 03:18:43 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","170","SQ-XXX: should be able to re-authenticate","smoke","Sun May 24 03:18:43 UTC 2026","passed","Sun May 24 03:18:43 UTC 2026","SQ-XXX: User Session API","integration/auth/user-session.test.ts","",""
"","2888","SQ-90: TC1: Should create client with valid data","smoke","Sun May 24 03:18:36 UTC 2026","failed","Sun May 24 03:18:39 UTC 2026","Create Client","e2e/clients/createClient.test.ts","",""
"","2808","UI Setup: authenticate via UI","ui-setup","Sun May 24 03:18:30 UTC 2026","passed","Sun May 24 03:18:33 UTC 2026","","setup/ui-auth.setup.ts","",""
